ID_code,AC(v8.5),AH(v8.5),AT(v8.5)
B2_R_L1_ST_S_0.6_2.3_TS2,2982.43,863.4,3845.83
B2_R_L1_ST_S_0.6_2.3_TS3,3028.94,897.93,3926.87
B2_R_L1_ST_W_0.2_0.8_TS2,2884.31,753.17,3637.48
B2_R_L1_ST_W_0.2_0.8_TS3,2897.29,756.12,3653.41
B2_R_L1_ST_W_0.2_2.3_TS2,2882.26,819.73,3701.9900000000002
B2_R_L1_ST_W_0.2_2.3_TS3,2901.39,814.25,3715.64
B2_R_L1_ST_W_0.6_0.8_TS2,2951.48,730.98,3682.46
B2_R_L1_ST_W_0.6_0.8_TS3,2975.95,741.35,3717.2999999999997
B2_R_L1_ST_W_0.6_2.3_TS2,2913.33,787.17,3700.5
B2_R_L1_ST_W_0.6_2.3_TS3,2956.95,801.73,3758.68
B2_R_L2_ST_E_0.2_0.8_TS2,727.23,5412.89,6140.120000000001
B2_R_L2_ST_E_0.2_0.8_TS3,735.38,5400.0,6135.38
B2_R_L2_ST_E_0.2_1.0_TS2,721.9,5467.23,6189.129999999999
B2_R_L2_ST_E_0.2_1.0_TS3,733.44,5449.41,6182.85
B2_R_L2_ST_E_0.6_0.8_TS2,755.24,5362.51,6117.75
B2_R_L2_ST_E_0.6_0.8_TS3,773.05,5350.62,6123.67
B2_R_L2_ST_E_0.6_1.0_TS2,741.15,5482.85,6224.0
B2_R_L2_ST_E_0.6_1.0_TS3,768.87,5451.49,6220.36
B2_R_L2_ST_S_0.2_0.8_TS2,793.75,5443.97,6237.72
B2_R_L2_ST_S_0.2_0.8_TS3,813.3,5515.03,6328.33
B2_R_L2_ST_S_0.2_1.0_TS2,786.48,5498.95,6285.43
B2_R_L2_ST_S_0.2_1.0_TS3,799.46,5483.86,6283.32
B2_R_L2_ST_S_0.6_0.8_TS2,817.85,5288.31,6106.160000000001
B2_R_L2_ST_S_0.6_0.8_TS3,840.56,5295.14,6135.700000000001
B2_R_L2_ST_S_0.6_1.0_TS2,799.67,5404.98,6204.65
B2_R_L2_ST_S_0.6_1.0_TS3,832.66,5398.84,6231.5
B2_R_L2_ST_W_0.2_0.8_TS2,746.04,5386.14,6132.18
B2_R_L2_ST_W_0.2_0.8_TS3,754.09,5380.09,6134.18
B2_R_L2_ST_W_0.2_1.0_TS2,736.94,5443.2,6180.139999999999
B2_R_L2_ST_W_0.2_1.0_TS3,748.79,5432.28,6181.07
B2_R_L2_ST_W_0.6_0.8_TS2,762.86,5350.13,6112.99
B2_R_L2_ST_W_0.6_0.8_TS3,782.17,5348.04,6130.21
B2_R_L2_ST_W_0.6_1.0_TS2,745.19,5470.97,6216.16
B2_R_L2_ST_W_0.6_1.0_TS3,773.79,5452.37,6226.16
