ID_code,AC(v22.2)
B2_O_L1_ST_W_0.2_0.8_TS3,2748.792041824829
B2_O_L1_ST_W_0.2_2.3_TS2,2739.971047854079
B2_O_L1_ST_W_0.2_2.3_TS3,2743.483458773246
B2_O_L1_ST_W_0.6_0.8_TS2,2793.194981881541
B2_O_L1_ST_W_0.6_0.8_TS3,2794.245946922146
B2_O_L1_ST_W_0.6_2.3_TS2,2777.8588253194816
B2_O_L1_ST_W_0.6_2.3_TS3,2782.515032844858
B2_R_L1_ST_E_0.2_0.8_TS2,2754.546400007024
B2_R_L1_ST_E_0.2_0.8_TS3,2764.3172600993184
B2_R_L1_ST_E_0.2_2.3_TS2,2757.689032770858
B2_R_L1_ST_E_0.2_2.3_TS3,2773.8162130901637
B2_R_L1_ST_E_0.6_0.8_TS2,2829.2757586394523
B2_R_L1_ST_E_0.6_0.8_TS3,2851.2004612074948
B2_R_L1_ST_E_0.6_2.3_TS2,2809.8883730156635
B2_R_L1_ST_E_0.6_2.3_TS3,2847.207385820588
B2_R_L1_ST_S_0.2_0.8_TS2,2942.7376536738257
B2_R_L1_ST_S_0.2_0.8_TS3,2955.4020157325604
B2_R_L1_ST_S_0.2_2.3_TS2,2934.3605958679555
B2_R_L1_ST_S_0.2_2.3_TS3,2955.6475323210934
B2_R_L1_ST_S_0.6_0.8_TS2,3012.884948450487
B2_R_L1_ST_S_0.6_0.8_TS3,3041.375874308955
B2_R_L1_ST_S_0.6_2.3_TS2,2979.749534472113
B2_R_L1_ST_S_0.6_2.3_TS3,3028.743189118576
B2_R_L1_ST_W_0.2_0.8_TS2,2886.659084684082
B2_R_L1_ST_W_0.2_0.8_TS3,2900.592506525778
B2_R_L1_ST_W_0.2_2.3_TS2,2872.682883967461
B2_R_L1_ST_W_0.2_2.3_TS3,2892.236135135211
B2_R_L1_ST_W_0.6_0.8_TS2,2949.976974673296
B2_R_L1_ST_W_0.6_0.8_TS3,2976.8746031320143
B2_R_L1_ST_W_0.6_2.3_TS2,2911.1636452077023
B2_R_L1_ST_W_0.6_2.3_TS3,2957.5105682980043
