ID_code,AH(v22.2)
B2_R_L1_MW_W_0.6_0.8_TS3,771.3207051086044
B2_R_L1_MW_W_0.6_2.3_TS2,783.6058396071433
B2_R_L1_MW_W_0.6_2.3_TS3,797.0679712851586
B2_O_L1_ST_E_0.2_0.8_TS2,770.0016204539104
B2_O_L1_ST_E_0.2_0.8_TS3,761.5386068946441
B2_O_L1_ST_E_0.2_2.3_TS2,846.4350106388922
B2_O_L1_ST_E_0.2_2.3_TS3,836.5610297439484
B2_O_L1_ST_E_0.6_0.8_TS2,702.5803434002017
B2_O_L1_ST_E_0.6_0.8_TS3,699.6636300656016
B2_O_L1_ST_E_0.6_2.3_TS2,801.2422924332585
B2_O_L1_ST_E_0.6_2.3_TS3,787.1505085651887
B2_O_L1_ST_S_0.2_0.8_TS2,781.3837390743607
B2_O_L1_ST_S_0.2_0.8_TS3,779.2402293048674
B2_O_L1_ST_S_0.2_2.3_TS2,851.4124959490879
B2_O_L1_ST_S_0.2_2.3_TS3,841.1935614870796
B2_O_L1_ST_S_0.6_0.8_TS2,722.1800960259216
B2_O_L1_ST_S_0.6_0.8_TS3,724.2126217820899
B2_O_L1_ST_S_0.6_2.3_TS2,781.7979293415784
B2_O_L1_ST_S_0.6_2.3_TS3,797.3945775779194
B2_O_L1_ST_W_0.2_0.8_TS2,741.1488256707369
B2_O_L1_ST_W_0.2_0.8_TS3,739.7883651593355
B2_O_L1_ST_W_0.2_2.3_TS2,816.8174475203152
B2_O_L1_ST_W_0.2_2.3_TS3,808.4291266197986
B2_O_L1_ST_W_0.6_0.8_TS2,690.4745666291466
B2_O_L1_ST_W_0.6_0.8_TS3,694.8938495885036
B2_O_L1_ST_W_0.6_2.3_TS2,782.4851949694577
B2_O_L1_ST_W_0.6_2.3_TS3,787.8556286497567
B2_R_L1_ST_E_0.2_0.8_TS2,741.1281978732443
B2_R_L1_ST_E_0.2_0.8_TS3,740.7144758749549
B2_R_L1_ST_E_0.2_2.3_TS2,801.1527066793433
B2_R_L1_ST_E_0.2_2.3_TS3,798.5627877752958
B2_R_L1_ST_E_0.6_0.8_TS2,711.1101218514931
B2_R_L1_ST_E_0.6_0.8_TS3,712.3254911498652
B2_R_L1_ST_E_0.6_2.3_TS2,770.3895137028263
B2_R_L1_ST_E_0.6_2.3_TS3,772.3447750904473
B2_R_L1_ST_S_0.2_0.8_TS2,858.1936640862976
B2_R_L1_ST_S_0.2_0.8_TS3,865.2232618119762
B2_R_L1_ST_S_0.2_2.3_TS2,904.024805130448
B2_R_L1_ST_S_0.2_2.3_TS3,902.8872494243101
B2_R_L1_ST_S_0.6_0.8_TS2,831.9827142627598
B2_R_L1_ST_S_0.6_0.8_TS3,842.4794594003216
B2_R_L1_ST_S_0.6_2.3_TS2,860.7847232243669
B2_R_L1_ST_S_0.6_2.3_TS3,888.0749987314786
B2_R_L1_ST_W_0.2_0.8_TS2,738.3462850698372
B2_R_L1_ST_W_0.2_0.8_TS3,746.6121822353947
B2_R_L1_ST_W_0.2_2.3_TS2,799.2504464564556
B2_R_L1_ST_W_0.2_2.3_TS3,798.4401885495304
B2_R_L1_ST_W_0.6_0.8_TS2,720.3466261628141
B2_R_L1_ST_W_0.6_0.8_TS3,729.8027263411161
B2_R_L1_ST_W_0.6_2.3_TS2,782.0241063035731
B2_R_L1_ST_W_0.6_2.3_TS3,794.0336530568987
