ID_code,AC(v8.5),diff%_AC(v8.5),AH(v8.5),diff%_AH(v8.5),AT(v8.5),diff%_AT(v8.5),AC(v8.7),diff%_AC(v8.7),AH(v8.7),diff%_AH(v8.7),AT(v8.7),diff%_AT(v8.7),AC(v22.2),diff%_AC(v22.2),AH(v22.2),diff%_AH(v22.2),AT(v22.2),diff%_AT(v22.2),DeltaAC%(v8.7-22.2),DeltaAH%(v8.7-22.2),DeltaAT%(v8.7-22.2)
B2_O_L1_DS_S_0.6_2.3_TS2,3252.35,18.85,654.15,-28.63,3906.5,6.94,3247.23,18.75,651.64,-28.85,3898.87,6.81,3253.41,18.81,646.11,-29.36,3899.52,6.75,0.19,-0.85,0.02
B2_O_L1_DS_W_0.2_0.8_TS2,2812.1,2.76,745.04,-18.71,3557.14,-2.63,2809.48,2.74,740.04,-19.19,3549.52,-2.76,2812.18,2.69,736.37,-19.5,3548.55,-2.86,0.1,-0.5,-0.03
B2_O_L1_DS_W_0.2_2.3_TS2,2890.27,5.62,719.87,-21.46,3610.14,-1.18,2887.39,5.59,718.94,-21.5,3606.33,-1.21,2892.23,5.62,716.02,-21.72,3608.25,-1.23,0.17,-0.41,0.05
B2_O_L1_DS_W_0.6_0.8_TS2,2983.03,9.01,676.09,-26.24,3659.12,0.17,2980.52,8.99,677.96,-25.97,3658.48,0.22,2982.79,8.92,672.78,-26.45,3655.57,0.07,0.08,-0.76,-0.08
B2_O_L1_DS_W_0.6_2.3_TS2,3102.5,13.37,652.68,-28.79,3755.18,2.79,3099.14,13.33,651.98,-28.81,3751.12,2.76,3104.28,13.36,646.89,-29.28,3751.17,2.68,0.17,-0.78,0.0
B2_O_L2_DS_E_0.2_0.8_TS2,736.82,7.81,3650.58,-3.5,4387.4,-1.77,734.76,7.77,3653.4,-3.36,4388.16,-1.66,734.3,7.8,3659.63,-3.59,4393.93,-1.85,-0.06,0.17,0.13
B2_O_L2_DS_E_0.2_1.0_TS2,734.7,7.5,3674.76,-2.87,4409.46,-1.28,730.91,7.21,3680.92,-2.63,4411.83,-1.13,729.52,7.1,3688.94,-2.81,4418.46,-1.31,-0.19,0.22,0.15
B2_O_L2_DS_E_0.6_0.8_TS2,848.64,24.17,3497.28,-7.56,4345.92,-2.7,847.02,24.24,3498.94,-7.45,4345.96,-2.61,845.38,24.11,3500.21,-7.79,4345.59,-2.93,-0.19,0.04,-0.01
B2_O_L2_DS_E_0.6_1.0_TS2,837.05,22.48,3549.98,-6.16,4387.03,-1.78,835.6,22.56,3547.89,-6.15,4383.49,-1.76,833.85,22.42,3550.27,-6.47,4384.12,-2.07,-0.21,0.07,0.01
B2_O_L2_DS_S_0.2_0.8_TS2,769.61,12.61,3659.63,-3.27,4429.24,-0.84,766.89,12.48,3658.9,-3.21,4425.79,-0.82,765.57,12.4,3661.28,-3.54,4426.85,-1.12,-0.17,0.07,0.02
B2_O_L2_DS_S_0.2_1.0_TS2,765.13,11.95,3674.36,-2.88,4439.49,-0.61,761.46,11.69,3685.19,-2.52,4446.65,-0.35,760.18,11.6,3691.38,-2.75,4451.56,-0.57,-0.17,0.17,0.11
B2_O_L2_DS_S_0.6_0.8_TS2,897.53,31.33,3446.27,-8.91,4343.8,-2.75,895.87,31.4,3449.81,-8.75,4345.68,-2.61,893.36,31.16,3450.11,-9.11,4343.47,-2.98,-0.28,0.01,-0.05
B2_O_L2_DS_S_0.6_1.0_TS2,885.31,29.54,3494.33,-7.63,4379.639999999999,-1.95,883.75,29.62,3496.67,-7.51,4380.42,-1.83,881.83,29.46,3500.22,-7.79,4382.05,-2.12,-0.22,0.1,0.04
B2_O_L2_DS_W_0.2_0.8_TS2,731.8,7.08,3626.34,-4.15,4358.14,-2.43,730.17,7.1,3622.86,-4.17,4353.03,-2.45,728.7,6.98,3629.56,-4.38,4358.26,-2.65,-0.2,0.18,0.12
B2_O_L2_DS_W_0.2_1.0_TS2,728.48,6.59,3646.29,-3.62,4374.77,-2.06,725.48,6.41,3657.33,-3.26,4382.81,-1.78,725.18,6.47,3660.57,-3.56,4385.75,-2.04,-0.04,0.09,0.07
B2_O_L2_DS_W_0.6_0.8_TS2,828.86,21.28,3486.25,-7.85,4315.11,-3.39,826.11,21.17,3484.42,-7.83,4310.53,-3.4,824.86,21.1,3491.68,-8.01,4316.54,-3.58,-0.15,0.21,0.14
B2_O_L2_DS_W_0.6_1.0_TS2,819.24,19.87,3536.97,-6.51,4356.21,-2.47,817.05,19.84,3535.6,-6.48,4352.65,-2.46,815.43,19.72,3538.43,-6.78,4353.86,-2.75,-0.2,0.08,0.03
B2_O_L1_MW_E_0.2_0.8_TS2,2789.21,1.93,859.71,-6.2,3648.92,-0.11,2757.88,0.85,874.14,-4.55,3632.02,-0.5,2761.68,0.85,868.12,-5.09,3629.8,-0.64,0.14,-0.69,-0.06
B2_O_L1_MW_E_0.2_0.8_TS3,2757.19,0.76,862.52,-5.9,3619.71,-0.91,2744.41,0.36,874.45,-4.52,3618.86,-0.86,2747.95,0.35,869.75,-4.91,3617.7,-0.97,0.13,-0.54,-0.03
B2_O_L1_MW_E_0.2_2.3_TS2,2778.52,1.53,872.56,-4.8,3651.08,-0.06,2775.97,1.51,870.92,-4.9,3646.89,-0.1,2779.93,1.52,866.93,-5.22,3646.86,-0.17,0.14,-0.46,-0.0
B2_O_L1_MW_E_0.2_2.3_TS3,2746.12,0.35,872.43,-4.82,3618.55,-0.95,2743.88,0.34,875.06,-4.45,3618.94,-0.86,2747.82,0.34,867.58,-5.15,3615.4,-1.03,0.14,-0.85,-0.1
B2_O_L1_MW_E_0.6_0.8_TS2,2952.04,7.88,794.99,-13.26,3747.03,2.57,2873.42,5.08,831.31,-9.23,3704.73,1.49,2877.1,5.06,826.16,-9.68,3703.26,1.37,0.13,-0.62,-0.04
B2_O_L1_MW_E_0.6_0.8_TS3,2852.3,4.23,808.28,-11.81,3660.58,0.21,2819.44,3.1,840.02,-8.28,3659.46,0.25,2822.83,3.08,828.13,-9.46,3650.96,-0.06,0.12,-1.42,-0.23
B2_O_L1_MW_E_0.6_2.3_TS2,2926.6,6.95,831.63,-9.27,3758.23,2.88,2923.87,6.92,831.06,-9.25,3754.93,2.86,2926.96,6.89,826.89,-9.6,3753.85,2.76,0.11,-0.5,-0.03
B2_O_L1_MW_E_0.6_2.3_TS3,2829.67,3.4,838.81,-8.48,3668.48,0.42,2827.03,3.38,835.56,-8.76,3662.59,0.33,2830.48,3.36,832.6,-8.97,3663.08,0.27,0.12,-0.35,0.01
B2_O_L1_MW_S_0.2_0.8_TS2,2824.42,3.21,850.19,-7.24,3674.61,0.59,2798.22,2.33,868.63,-5.15,3666.85,0.45,2801.44,2.3,868.74,-5.02,3670.18,0.47,0.12,0.01,0.09
B2_O_L1_MW_S_0.2_0.8_TS3,2792.07,2.03,869.91,-5.09,3661.98,0.24,2779.83,1.65,874.46,-4.52,3654.29,0.11,2783.67,1.65,872.96,-4.56,3656.63,0.1,0.14,-0.17,0.06
B2_O_L1_MW_S_0.2_2.3_TS2,2811.68,2.75,868.24,-5.27,3679.92,0.73,2809.71,2.75,867.72,-5.25,3677.43,0.74,2813.56,2.74,863.19,-5.63,3676.75,0.65,0.14,-0.52,-0.02
B2_O_L1_MW_S_0.2_2.3_TS3,2780.47,1.61,878.9,-4.11,3659.37,0.17,2778.6,1.61,882.52,-3.64,3661.12,0.29,2782.43,1.61,879.54,-3.84,3661.97,0.24,0.14,-0.34,0.02
B2_O_L1_MW_S_0.6_0.8_TS2,2979.51,8.88,779.74,-14.93,3759.25,2.91,2897.48,5.96,820.65,-10.39,3718.13,1.85,2900.63,5.92,817.65,-10.61,3718.28,1.78,0.11,-0.37,0.0
B2_O_L1_MW_S_0.6_0.8_TS3,2875.06,5.06,821.04,-10.42,3696.1,1.18,2844.45,4.02,837.97,-8.5,3682.42,0.88,2848.21,4.01,836.53,-8.54,3684.74,0.87,0.13,-0.17,0.06
B2_O_L1_MW_S_0.6_2.3_TS2,2942.36,7.52,811.13,-11.5,3753.49,2.75,2940.34,7.52,808.66,-11.7,3749.0,2.7,2943.55,7.49,806.87,-11.79,3750.42,2.66,0.11,-0.22,0.04
B2_O_L1_MW_S_0.6_2.3_TS3,2845.41,3.98,848.77,-7.4,3694.18,1.12,2843.28,3.97,848.62,-7.34,3691.9,1.14,2846.84,3.96,846.5,-7.45,3693.34,1.1,0.13,-0.25,0.04
B2_O_L1_MW_W_0.2_0.8_TS2,2781.76,1.65,822.8,-10.23,3604.56,-1.33,2759.43,0.91,836.37,-8.67,3595.8,-1.5,2762.89,0.89,835.45,-8.66,3598.34,-1.5,0.13,-0.11,0.07
B2_O_L1_MW_W_0.2_0.8_TS3,2741.07,0.17,828.0,-9.66,3569.07,-2.3,2727.68,-0.25,837.69,-8.53,3565.37,-2.33,2731.37,-0.26,838.9,-8.29,3570.27,-2.27,0.14,0.14,0.14
B2_O_L1_MW_W_0.2_2.3_TS2,2771.84,1.29,839.3,-8.43,3611.14,-1.15,2769.9,1.29,837.94,-8.5,3607.84,-1.17,2773.42,1.28,835.66,-8.64,3609.08,-1.21,0.13,-0.27,0.03
B2_O_L1_MW_W_0.2_2.3_TS3,2728.46,-0.29,843.81,-7.94,3572.27,-2.21,2726.46,-0.3,843.43,-7.9,3569.89,-2.21,2730.28,-0.3,840.71,-8.09,3570.99,-2.25,0.14,-0.32,0.03
B2_O_L1_MW_W_0.6_0.8_TS2,2937.56,7.35,765.82,-16.45,3703.38,1.38,2872.31,5.04,801.03,-12.53,3673.34,0.63,2875.52,5.01,799.63,-12.58,3675.15,0.6,0.11,-0.17,0.05
B2_O_L1_MW_W_0.6_0.8_TS3,2818.27,2.99,786.03,-14.24,3604.3,-1.34,2785.77,1.87,808.2,-11.75,3593.9700000000003,-1.55,2788.7,1.84,805.63,-11.92,3594.33,-1.61,0.11,-0.32,0.01
B2_O_L1_MW_W_0.6_2.3_TS2,2902.05,6.05,806.92,-11.96,3708.97,1.53,2900.1,6.05,805.39,-12.06,3705.49,1.51,2903.19,6.02,799.5,-12.59,3702.69,1.36,0.11,-0.73,-0.08
B2_O_L1_MW_W_0.6_2.3_TS3,2784.92,1.77,820.62,-10.47,3605.54,-1.3,2782.6,1.75,821.18,-10.33,3603.78,-1.28,2786.18,1.74,816.51,-10.73,3602.69,-1.38,0.13,-0.57,-0.03
B2_O_L2_MW_E_0.2_0.8_TS2,704.49,3.08,3711.53,-1.89,4416.02,-1.13,689.91,1.19,3738.45,-1.11,4428.36,-0.76,689.25,1.19,3747.62,-1.27,4436.87,-0.89,-0.1,0.25,0.19
B2_O_L2_MW_E_0.2_0.8_TS3,693.54,1.48,3702.69,-2.13,4396.23,-1.58,685.49,0.54,3720.07,-1.6,4405.56,-1.27,684.88,0.55,3730.14,-1.73,4415.02,-1.38,-0.09,0.27,0.21
B2_O_L2_MW_E_0.2_1.0_TS2,704.71,3.11,3732.15,-1.35,4436.860000000001,-0.67,689.33,1.11,3739.76,-1.08,4429.09,-0.74,688.75,1.12,3748.49,-1.25,4437.24,-0.89,-0.08,0.23,0.18
B2_O_L2_MW_E_0.2_1.0_TS3,690.96,1.1,3715.86,-1.78,4406.82,-1.34,685.71,0.58,3724.93,-1.47,4410.639999999999,-1.16,685.31,0.61,3731.39,-1.7,4416.7,-1.34,-0.06,0.17,0.14
B2_O_L2_MW_E_0.6_0.8_TS2,782.92,14.56,3601.87,-4.79,4384.79,-1.83,732.05,7.37,3676.49,-2.75,4408.54,-1.2,731.26,7.36,3684.69,-2.93,4415.95,-1.36,-0.11,0.22,0.17
B2_O_L2_MW_E_0.6_0.8_TS3,745.74,9.12,3571.72,-5.59,4317.46,-3.34,721.69,5.85,3635.3,-3.84,4356.99,-2.36,720.79,5.82,3643.9,-4.0,4364.6900000000005,-2.51,-0.12,0.24,0.18
